Year,Port_Country,Total_Air_Routes,Total_Flights,Service_Region
2013,Western Samoa,1,410,Islands
2014,Argentina,1,82,S America
2014,Brazil,1,8,S America
2014,Brunei,1,728,SE Asia
2014,Canada,2,1451,N America
2014,Chile,1,1002,S America
2014,China,6,9222,NE Asia
2014,Cook Islands,1,102,Islands
2014,Fiji,2,5545,Islands
2014,Guam,1,208,Islands
2014,Hong Kong (SAR),1,10659,NE Asia
2014,India,1,1418,S Asia
2014,Indonesia,3,18490,SE Asia
2014,Japan,2,3998,NE Asia
2014,Malaysia,2,13248,SE Asia
2014,Mauritius,1,262,Africa
2014,Nauru,1,415,Islands
2014,New Caledonia,1,1185,N America
2014,New Zealand,6,41717,SE Asia
2014,Papua New Guinea,2,4349,Islands
2014,Philippines,1,2063,SE Asia
2014,Qatar,1,1460,Middle East
2014,Singapore,1,24301,SE Asia
2014,Solomon Is.,1,617,Islands
2014,South Africa,1,1438,Africa
2014,South Korea,1,1874,NE Asia
2014,Taiwan,1,1012,NE Asia
2014,Thailand,2,6620,SE Asia
2014,Tonga,1,205,Islands
2014,United Arab Emirates,2,13269,Middle East
2014,United Kingdom,1,2395,Europe
2014,United States of America,5,11339,N America
2014,Vanuatu,2,1484,Islands
2014,Vietnam,2,1751,SE Asia
2014,Western Samoa,1,353,Islands
2015,Brunei,1,725,SE Asia
2015,Canada,2,1511,N America
2015,Chile,1,1149,S America
2015,China,10,9665,NE Asia
2015,Cook Islands,1,104,Islands
2015,Fiji,2,5917,Islands
2015,Guam,1,154,Islands
2015,Hong Kong (SAR),1,10378,NE Asia
2015,India,1,978,S Asia
2015,Indonesia,2,16151,SE Asia
2015,Japan,2,4224,NE Asia
2015,Malaysia,2,10956,SE Asia
2015,Mauritius,1,261,Africa
2015,Nauru,1,339,Islands
2015,New Caledonia,1,1281,Islands
2015,New Zealand,6,43087,S America
2015,Papua New Guinea,2,4642,Islands
2015,Philippines,1,2479,SE Asia
2015,Qatar,1,1460,Middle East
2015,Singapore,1,23271,SE Asia
2015,Solomon Is.,1,739,Islands
2015,South Africa,1,1388,Africa
2015,South Korea,1,1876,NE Asia
2015,Taiwan,1,1158,NE Asia
2015,Thailand,2,6882,SE Asia
2015,Tonga,1,209,Islands
2015,Turkey,1,4,Middle East
2015,United Arab Emirates,2,13745,Middle East
2015,United Kingdom,1,2168,Europe
2015,United States of America,5,11649,N America
2015,Vanuatu,2,1213,Islands
2015,Vietnam,1,1402,SE Asia
2015,Western Samoa,1,339,Islands
2016,Brazil,1,1,S America
2016,Brunei,1,724,SE Asia
2016,Canada,2,1918,N America
2016,Chile,1,1149,S America
2016,China,16,12281,NE Asia
2016,Cook Islands,1,106,Islands
2016,Fiji,2,5894,Islands
2016,Guam,1,1,Islands
2016,Hong Kong (SAR),1,11499,NE Asia
2016,India,1,730,S Asia
2016,Indonesia,2,17474,SE Asia
2016,Japan,2,5291,NE Asia
2016,Malaysia,2,11244,SE Asia
2016,Mauritius,1,236,Africa
2016,Nauru,1,353,Islands
2016,New Caledonia,1,1316,N America
2016,New Zealand,5,46407,S America
2016,Papua New Guinea,1,4350,Islands
2016,Philippines,1,3260,SE Asia
2016,Qatar,1,2501,Middle East
2016,Singapore,1,24549,SE Asia
2016,Solomon Is.,1,664,Islands
2016,South Africa,1,1367,Africa
2016,South Korea,1,1920,NE Asia
2016,Taiwan,1,1555,NE Asia
2016,Thailand,2,6685,SE Asia
2016,Tonga,1,208,Islands
2016,United Arab Emirates,2,13779,Middle East
2016,United Kingdom,1,2165,Europe
2016,United States of America,5,12271,N America
2016,Vanuatu,2,1169,Islands
2016,Vietnam,1,1417,SE Asia
2016,Western Samoa,1,345,Islands
2017,Brunei,1,726,SE Asia
2017,Canada,2,2266,N America
2017,Chile,1,1194,S America
