Type,Australian_City,Total_Flights,Year
Outbound,Gold Coast,2205,2010
Outbound,Gold Coast,2016,2011
Outbound,Gold Coast,2143,2012
Outbound,Gold Coast,2250,2013
Outbound,Gold Coast,2286,2014
Outbound,Gold Coast,2565,2015
Outbound,Gold Coast,3226,2016
Outbound,Gold Coast,3283,2017
Outbound,Gold Coast,3027,2018
Outbound,Gold Coast,2488,2019
Outbound,Gold Coast,579,2020
Outbound,Gold Coast,224,2021
Outbound,Gold Coast,636,2022
Outbound,Hobart,26,2021
Outbound,Hobart,21,2022
Outbound,Melbourne,2110,2003
Outbound,Melbourne,4844,2004
Outbound,Melbourne,4881,2005
Outbound,Melbourne,13958,2006
Outbound,Melbourne,13722,2007
Outbound,Melbourne,14642,2008
Outbound,Melbourne,16206,2009
Outbound,Melbourne,17879,2010
Outbound,Melbourne,19046,2011
Outbound,Melbourne,19453,2012
Outbound,Melbourne,19995,2013
Outbound,Melbourne,21165,2014
Outbound,Melbourne,21918,2015
Outbound,Melbourne,22986,2016
Outbound,Melbourne,23773,2017
Outbound,Melbourne,26347,2018
Outbound,Melbourne,27241,2019
Outbound,Melbourne,7448,2020
Outbound,Melbourne,2870,2021
Outbound,Melbourne,7861,2022
Outbound,Newcastle,16,2018
Outbound,Newcastle,37,2019
Outbound,Newcastle,18,2020
Outbound,Norfolk Island,17,2003
Outbound,Norfolk Island,52,2004
Outbound,Norfolk Island,34,2005
Outbound,Norfolk Island,105,2006
Outbound,Norfolk Island,104,2007
Outbound,Norfolk Island,102,2008
Outbound,Norfolk Island,66,2009
Outbound,Norfolk Island,54,2010
Outbound,Norfolk Island,52,2011
Outbound,Norfolk Island,52,2012
Outbound,Norfolk Island,54,2013
Outbound,Norfolk Island,53,2014
Outbound,Norfolk Island,53,2015
Outbound,Norfolk Island,53,2016
Outbound,Norfolk Island,21,2017
Outbound,Norfolk Island,18,2019
Outbound,Norfolk Island,12,2020
Outbound,Norfolk Island,7,2021
Outbound,Norfolk Island,4,2022
Outbound,Perth,827,2003
Outbound,Perth,1703,2004
Outbound,Perth,1893,2005
Outbound,Perth,5315,2006
Outbound,Perth,6235,2007
Outbound,Perth,6927,2008
Outbound,Perth,8194,2009
Outbound,Perth,9348,2010
Outbound,Perth,10044,2011
Outbound,Perth,10481,2012
Outbound,Perth,11684,2013
Outbound,Perth,12226,2014
Outbound,Perth,11161,2015
Outbound,Perth,11722,2016
Outbound,Perth,11487,2017
Outbound,Perth,11451,2018
Outbound,Perth,10814,2019
Outbound,Perth,3081,2020
Outbound,Perth,1398,2021
Outbound,Perth,2760,2022
Outbound,Port Hedland,22,2010
Outbound,Port Hedland,12,2011
Outbound,Port Hedland,34,2015
Outbound,Port Hedland,53,2016
Outbound,Port Hedland,48,2017
Outbound,Port Hedland,51,2018
Outbound,Port Hedland,51,2019
Outbound,Port Hedland,10,2020
Outbound,Sunshine Coast,24,2012
Outbound,Sunshine Coast,34,2013
Outbound,Sunshine Coast,42,2014
Outbound,Sunshine Coast,57,2015
Outbound,Sunshine Coast,75,2016
Outbound,Sunshine Coast,55,2017
Outbound,Sunshine Coast,61,2018
Outbound,Sunshine Coast,62,2019
Outbound,Sunshine Coast,5,2021
Outbound,Sunshine Coast,23,2022
Outbound,Sydney,4920,2003
Outbound,Sydney,10519,2004
Outbound,Sydney,11056,2005
Outbound,Sydney,32735,2006
Outbound,Sydney,32138,2007
Outbound,Sydney,32801,2008
Outbound,Sydney,32968,2009
Outbound,Sydney,33984,2010
Outbound,Sydney,35230,2011
Outbound,Sydney,34946,2012
Outbound,Sydney,34943,2013
Outbound,Sydney,34851,2014
Outbound,Sydney,34234,2015
Outbound,Sydney,37298,2016
Outbound,Sydney,38992,2017
Outbound,Sydney,40819,2018
Outbound,Sydney,40721,2019
Outbound,Sydney,11486,2020
Outbound,Sydney,5817,2021
Outbound,Sydney,12773,2022
Outbound,Townsville,8,2010
Outbound,Townsville,52,2011
Outbound,Townsville,45,2015
Outbound,Townsville,154,2016
Outbound,Townsville,228,2017
Outbound,Townsville,112,2018
